X	Potential(X)	Exp(-Potential(X))	Convolved Exp(-Potential(X))	Potential from Convolved Density
-0.3600	-0.0606	1.0625	1.0735	-0.0709
-0.3500	-0.0575	1.0592	1.0705	-0.0681
-0.3400	-0.0545	1.0560	1.0675	-0.0653
-0.3300	-0.0515	1.0528	1.0646	-0.0626
-0.3200	-0.0486	1.0498	1.0618	-0.0600
-0.3100	-0.0457	1.0468	1.0591	-0.0574
-0.3000	-0.0430	1.0439	1.0564	-0.0549
-0.2900	-0.0403	1.0411	1.0538	-0.0524
-0.2800	-0.0377	1.0384	1.0513	-0.0500
-0.2700	-0.0351	1.0357	1.0488	-0.0477
-0.2600	-0.0327	1.0332	1.0465	-0.0454
-0.2500	-0.0303	1.0307	1.0442	-0.0432
-0.2400	-0.0280	1.0284	1.0420	-0.0411
-0.2300	-0.0258	1.0261	1.0398	-0.0391
-0.2200	-0.0236	1.0239	1.0378	-0.0371
-0.2100	-0.0216	1.0218	1.0358	-0.0352
-0.2000	-0.0196	1.0198	1.0339	-0.0334
-0.1900	-0.0177	1.0179	1.0321	-0.0316
-0.1800	-0.0159	1.0161	1.0304	-0.0300
-0.1700	-0.0142	1.0143	1.0288	-0.0284
-0.1600	-0.0126	1.0127	1.0273	-0.0269
-0.1500	-0.0111	1.0112	1.0259	-0.0255
-0.1400	-0.0097	1.0098	1.0245	-0.0242
-0.1300	-0.0084	1.0084	1.0232	-0.0230
-0.1200	-0.0071	1.0072	1.0221	-0.0218
-0.1100	-0.0060	1.0060	1.0210	-0.0208
-0.1000	-0.0050	1.0050	1.0200	-0.0198
-0.0900	-0.0040	1.0040	1.0191	-0.0189
-0.0800	-0.0032	1.0032	1.0183	-0.0182
-0.0700	-0.0024	1.0024	1.0176	-0.0175
-0.0600	-0.0018	1.0018	1.0170	-0.0169
-0.0500	-0.0012	1.0012	1.0165	-0.0164
-0.0400	-0.0008	1.0008	1.0161	-0.0159
-0.0300	-0.0004	1.0004	1.0157	-0.0156
-0.0200	-0.0002	1.0002	1.0155	-0.0154
-0.0100	-0.0000	1.0000	1.0154	-0.0152
0.0000	0.0000	1.0000	1.0153	-0.0152
0.0100	-0.0000	1.0000	1.0154	-0.0152
0.0200	-0.0002	1.0002	1.0155	-0.0154
0.0300	-0.0004	1.0004	1.0157	-0.0156
0.0400	-0.0008	1.0008	1.0161	-0.0159
0.0500	-0.0012	1.0012	1.0165	-0.0164
0.0600	-0.0018	1.0018	1.0170	-0.0169
0.0700	-0.0024	1.0024	1.0176	-0.0175
0.0800	-0.0032	1.0032	1.0183	-0.0182
0.0900	-0.0040	1.0040	1.0191	-0.0189
0.1000	-0.0050	1.0050	1.0200	-0.0198
0.1100	-0.0060	1.0060	1.0210	-0.0208
0.1200	-0.0071	1.0072	1.0221	-0.0218
0.1300	-0.0084	1.0084	1.0232	-0.0230
0.1400	-0.0097	1.0098	1.0245	-0.0242
0.1500	-0.0111	1.0112	1.0259	-0.0255
0.1600	-0.0126	1.0127	1.0273	-0.0269
0.1700	-0.0142	1.0143	1.0288	-0.0284
0.1800	-0.0159	1.0161	1.0304	-0.0300
0.1900	-0.0177	1.0179	1.0321	-0.0316
0.2000	-0.0196	1.0198	1.0339	-0.0334
0.2100	-0.0216	1.0218	1.0358	-0.0352
0.2200	-0.0236	1.0239	1.0378	-0.0371
0.2300	-0.0258	1.0261	1.0398	-0.0391
0.2400	-0.0280	1.0284	1.0420	-0.0411
0.2500	-0.0303	1.0307	1.0442	-0.0432
0.2600	-0.0327	1.0332	1.0465	-0.0454
0.2700	-0.0351	1.0357	1.0488	-0.0477
0.2800	-0.0377	1.0384	1.0513	-0.0500
0.2900	-0.0403	1.0411	1.0538	-0.0524
0.3000	-0.0430	1.0439	1.0564	-0.0549
0.3100	-0.0457	1.0468	1.0591	-0.0574
0.3200	-0.0486	1.0498	1.0618	-0.0600
0.3300	-0.0515	1.0528	1.0646	-0.0626
0.3400	-0.0545	1.0560	1.0675	-0.0653
0.3500	-0.0575	1.0592	1.0705	-0.0681
0.3600	-0.0606	1.0625	1.0735	-0.0709
0.3700	-0.0638	1.0658	1.0766	-0.0738
0.3800	-0.0670	1.0693	1.0797	-0.0767
