X	Potential(X)	Exp(-Potential(X))	Convolved Exp(-Potential(X))	Potential from Convolved Density
1.4400	-3.7066	40.7144	17.9744	-2.8889
1.4500	-3.6995	40.4268	17.8798	-2.8837
1.4600	-3.6907	40.0721	17.7773	-2.8779
1.4700	-3.6801	39.6508	17.6670	-2.8717
1.4800	-3.6677	39.1636	17.5491	-2.8650
1.4900	-3.6536	38.6117	17.4234	-2.8578
1.5000	-3.6375	37.9967	17.2903	-2.8501
1.5100	-3.6195	37.3205	17.1470	-2.8418
1.5200	-3.5997	36.5855	16.9967	-2.8330
1.5300	-3.5778	35.7942	16.8396	-2.8237
1.5400	-3.5539	34.9498	16.6756	-2.8139
1.5500	-3.5280	34.0556	16.5048	-2.8036
1.5600	-3.5000	33.1152	16.3272	-2.7928
1.5700	-3.4699	32.1325	16.1431	-2.7815
1.5800	-3.4376	31.1118	15.9524	-2.7696
1.5900	-3.4031	30.0574	15.7553	-2.7572
1.6000	-3.3664	28.9740	15.5518	-2.7442
1.6100	-3.3274	27.8663	15.3422	-2.7306
1.6200	-3.2861	26.7390	15.1264	-2.7164
1.6300	-3.2425	25.5972	14.9046	-2.7017
1.6400	-3.1965	24.4456	14.6771	-2.6863
1.6500	-3.1480	23.2893	14.4438	-2.6703
1.6600	-3.0971	22.1330	14.2051	-2.6536
1.6700	-3.0436	20.9814	13.9611	-2.6363
1.6800	-2.9877	19.8392	13.7119	-2.6183
1.6900	-2.9291	18.7106	13.4578	-2.5996
1.7000	-2.8679	17.6000	13.1990	-2.5801
1.7100	-2.8040	16.5112	12.9356	-2.5600
1.7200	-2.7375	15.4478	12.6680	-2.5391
1.7300	-2.6681	14.4133	12.3964	-2.5174
1.7400	-2.5960	13.4105	12.1210	-2.4949
1.7500	-2.5211	12.4422	11.8422	-2.4717
1.7600	-2.4433	11.5107	11.5601	-2.4476
1.7700	-2.3625	10.6179	11.2751	-2.4226
1.7800	-2.2788	9.7654	10.9875	-2.3968
1.7900	-2.1921	8.9544	10.6976	-2.3700
1.8000	-2.1024	8.1858	10.4058	-2.3424
1.8100	-2.0096	7.4601	10.1123	-2.3138
1.8200	-1.9136	6.7775	9.8175	-2.2842
1.8300	-1.8145	6.1378	9.5219	-2.2536
1.8400	-1.7121	5.5407	9.2257	-2.2220
1.8500	-1.6065	4.9853	8.9293	-2.1893
1.8600	-1.4976	4.4708	8.6331	-2.1556
1.8700	-1.3853	3.9960	8.3375	-2.1208
1.8800	-1.2696	3.5595	8.0428	-2.0848
1.8900	-1.1505	3.1598	7.7496	-2.0476
1.9000	-1.0279	2.7952	7.4581	-2.0093
1.9100	-0.9018	2.4640	7.1688	-1.9697
1.9200	-0.7721	2.1642	6.8820	-1.9289
1.9300	-0.6387	1.8941	6.5982	-1.8868
1.9400	-0.5017	1.6516	6.3177	-1.8434
1.9500	-0.3610	1.4348	6.0409	-1.7986
1.9600	-0.2165	1.2417	5.7683	-1.7524
1.9700	-0.0682	1.0706	5.5000	-1.7048
1.9800	0.0839	0.9195	5.2367	-1.6557
1.9900	0.2400	0.7866	4.9784	-1.6051
2.0000	0.4000	0.6703	4.7256	-1.5530
