#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [1. 1.]
#! SET kt 1.0
59200 1365 292016 1559 299984
59300 1365 292654 1560 300346
59400 1367 293082 1561 300918
59500 1368 293588 1562 301412
59600 1368 293998 1562 302002
59700 1368 294441 1562 302559
59800 1369 294933 1562 303067
59900 1370 295394 1566 303606
60000 1371 295971 1567 304029
60100 1371 296593 1569 304407
60200 1372 297096 1570 304904
60300 1373 297557 1571 305443
60400 1373 297949 1572 306051
60500 1375 298455 1572 306545
60600 1378 298981 1572 307019
60700 1379 299481 1573 307519
60800 1380 299904 1573 308096
60900 1381 300466 1573 308534
61000 1383 300981 1574 309019
61100 1386 301445 1575 309555
61200 1387 301952 1576 310048
61300 1387 302486 1576 310514
61400 1388 302807 1576 311193
61500 1388 303171 1576 311829
61600 1390 303647 1577 312353
61700 1390 304354 1577 312646
61800 1394 304857 1578 313143
61900 1394 305481 1579 313519
62000 1396 306017 1580 313983
62100 1397 306508 1581 314492
62200 1398 307023 1583 314977
62300 1399 307393 1583 315607
62400 1402 307890 1585 316110
62500 1402 308389 1586 316611
62600 1402 308990 1589 317010
62700 1404 309660 1592 317340
62800 1406 310111 1592 317889
62900 1407 310444 1592 318556
63000 1408 310922 1592 319078
63100 1408 311433 1592 319567
63200 1409 311916 1595 320084
63300 1410 312414 1599 320586
63400 1410 312922 1599 321078
63500 1411 313388 1600 321612
63600 1412 313934 1600 322066
63700 1413 314436 1600 322564
63800 1414 314964 1600 323036
63900 1417 315445 1600 323555
64000 1417 316043 1600 323957
64100 1419 316541 1604 324459
64200 1422 317222 1605 324778
64300 1422 317939 1607 325061
64400 1423 318442 1607 325558
64500 1424 318780 1610 326220
64600 1424 319388 1611 326612
64700 1425 319930 1613 327070
64800 1427 320624 1613 327376
64900 1427 321003 1613 327997
65000 1429 321486 1614 328514
65100 1431 321982 1616 329018
65200 1435 322517 1617 329483
65300 1435 323112 1617 329888
65400 1435 323676 1620 330324
65500 1435 324173 1621 330827
65600 1435 324691 1622 331309
65700 1437 325276 1625 331724
65800 1437 325776 1625 332224
65900 1437 326176 1629 332824
66000 1438 326630 1631 333370
66100 1438 327065 1632 333935
66200 1438 327523 1632 334477
66300 1439 328000 1634 335000
66400 1440 328507 1634 335493
66500 1443 329055 1634 335945
66600 1447 329496 1636 336504
66700 1449 330129 1638 336871
66800 1450 330589 1638 337411
66900 1451 331039 1639 337961
67000 1451 331605 1640 338395
67100 1451 332248 1640 338752
67200 1451 332746 1641 339254
67300 1451 333351 1643 339649
67400 1451 333915 1644 340085
67500 1452 334372 1645 340628
67600 1452 334822 1646 341178
67700 1453 335438 1647 341562
67800 1454 336184 1647 341816
67900 1454 336671 1647 342329
68000 1455 337167 1648 342833
68100 1455 337705 1648 343295
68200 1457 338053 1650 343947
68300 1460 338619 1650 344381
68400 1461 339117 1651 344883
68500 1463 339511 1652 345489
68600 1465 339990 1653 346010
68700 1465 340243 1653 346757
68800 1468 340572 1655 347428
68900 1469 341033 1656 347967
69000 1471 341494 1656 348506
69100 1471 342035 1658 348965
69200 1471 342557 1658 349443
69300 1472 343033 1660 349967
69400 1473 343510 1660 350490
69500 1474 344005 1660 350995
69600 1475 344340 1662 351660
69700 1477 344836 1663 352164
69800 1479 345249 1664 352751
69900 1479 345722 1665 353278
70000 1480 346193 1667 353807
70100 1482 346689 1668 354311
70200 1483 347205 1669 354795
70300 1483 347700 1670 355300
70400 1484 348182 1671 355818
70500 1484 348718 1673 356282
70600 1484 349012 1673 356988
70700 1486 349309 1674 357691
70800 1486 349853 1674 358147
70900 1487 350571 1677 358429
71000 1491 351034 1677 358966
71100 1492 351530 1678 359470
71200 1495 352134 1679 359866
71300 1497 352411 1681 360589
71400 1499 353008 1681 360992
71500 1499 353454 1681 361546
71600 1502 353947 1684 362053
71700 1504 354469 1686 362531
71800 1504 354994 1687 363006
71900 1505 355268 1688 363732
72000 1506 355526 1690 364474
72100 1508 355901 1690 365099
72200 1509 356403 1690 365597
72300 1510 356952 1690 366048
72400 1511 357459 1690 366541
72500 1511 358164 1691 366836
72600 1511 358665 1693 367335
72700 1512 359410 1694 367590
72800 1512 359694 1696 368306
72900 1512 360253 1699 368747
73000 1514 360752 1701 369248
73100 1516 361259 1702 369741
73200 1516 361894 1702 370106
73300 1517 362439 1702 370561
73400 1518 362779 1703 371221
73500 1518 363208 1706 371792
73600 1519 363758 1706 372242
73700 1519 364331 1706 372669
73800 1519 364703 1707 373297
73900 1519 365341 1708 373659
74000 1521 365982 1709 374018
74100 1522 366686 1710 374314
74200 1522 367272 1711 374728
74300 1522 367898 1712 375102
74400 1525 368370 1715 375630
74500 1527 368867 1716 376133
74600 1529 369220 1718 376780
74700 1530 369693 1721 377307
74800 1531 370138 1723 377862
74900 1532 370542 1726 378458
75000 1532 370989 1728 379011
75100 1533 371501 1729 379499
75200 1535 372008 1732 379992
75300 1536 372344 1732 380656
75400 1536 372839 1732 381161
75500 1536 373282 1732 381718
75600 1539 373787 1732 382213
75700 1540 374284 1735 382716
75800 1541 374578 1735 383422
75900 1541 375042 1735 383958
76000 1543 375695 1736 384305
76100 1545 376311 1737 384689
76200 1545 377009 1737 384991
76300 1547 377429 1738 385571
76400 1548 377925 1739 386075
76500 1551 378343 1739 386657
76600 1553 378666 1741 387334
76700 1553 379075 1741 387925
76800 1556 379617 1741 388383
76900 1556 380142 1741 388858
77000 1557 380717 1742 389283
77100 1557 381419 1744 389581
77200 1558 381968 1745 390032
77300 1559 382477 1746 390523
77400 1561 382944 1748 391056
77500 1562 383423 1749 391577
77600 1562 383870 1750 392130
77700 1562 384490 1750 392510
77800 1563 385152 1750 392848
77900 1564 385699 1753 393301
78000 1564 386173 1753 393827
78100 1564 386665 1753 394335
78200 1567 387160 1754 394840
78300 1568 387793 1755 395207
78400 1568 388359 1755 395641
78500 1568 389087 1755 395913
78600 1569 389828 1756 396172
78700 1570 390259 1757 396741
78800 1571 390981 1760 397019
78900 1573 391451 1761 397549
79000 1576 392062 1762 397938
79100 1579 392559 1764 398441
79200 1579 393022 1764 398978
