#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.8 0.8]
#! SET kt 1.0
51900 1383 256253 1513 262747
52000 1384 256924 1514 263076
52100 1384 257512 1516 263488
52200 1388 257964 1516 264036
52300 1390 258359 1516 264641
52400 1390 258859 1516 265141
52500 1391 259389 1517 265611
52600 1391 260023 1517 265977
52700 1391 260500 1517 266500
52800 1391 260985 1519 267015
52900 1393 261458 1522 267542
53000 1394 262021 1523 267979
53100 1394 262642 1524 268358
53200 1395 263213 1525 268787
53300 1395 263694 1526 269306
53400 1396 264138 1529 269862
53500 1399 264621 1529 270379
53600 1400 265163 1530 270837
53700 1400 265594 1530 271406
53800 1402 265996 1531 272004
53900 1403 266445 1532 272555
54000 1404 267050 1533 272950
54100 1404 267569 1535 273431
54200 1405 268094 1536 273906
54300 1408 268611 1538 274389
54400 1410 269341 1540 274659
54500 1411 269815 1540 275185
54600 1411 270290 1543 275710
54700 1414 270689 1544 276311
54800 1414 271147 1544 276853
54900 1414 271628 1545 277372
55000 1415 272178 1545 277822
55100 1415 272587 1546 278413
55200 1415 273092 1547 278908
55300 1417 273624 1549 279376
55400 1417 274038 1550 279962
55500 1420 274590 1553 280410
55600 1423 275101 1554 280899
55700 1425 275622 1556 281378
55800 1425 276219 1559 281781
55900 1425 276481 1563 282519
56000 1426 276957 1566 283043
56100 1426 277437 1567 283563
56200 1427 277991 1568 284009
56300 1427 278670 1569 284330
56400 1428 279395 1569 284605
56500 1428 279949 1570 285051
56600 1432 280505 1574 285495
56700 1432 280787 1574 286213
56800 1434 281211 1576 286789
56900 1434 281879 1580 287121
57000 1435 282314 1580 287686
57100 1439 282893 1581 288107
57200 1439 283352 1583 288648
57300 1440 283855 1586 289145
57400 1440 284172 1586 289828
57500 1441 284465 1587 290535
57600 1442 285020 1588 290980
57700 1442 285430 1589 291570
57800 1444 285927 1591 292073
57900 1446 286436 1593 292564
58000 1448 286925 1595 293075
58100 1450 287410 1595 293590
58200 1450 287824 1596 294176
58300 1453 288384 1598 294616
58400 1455 288817 1599 295183
58500 1460 289326 1602 295674
58600 1462 289950 1603 296050
58700 1463 290453 1604 296547
58800 1463 290937 1606 297063
58900 1465 291374 1608 297626
59000 1469 291860 1612 298140
59100 1469 292325 1612 298675
59200 1470 292843 1612 299157
59300 1471 293304 1613 299696
59400 1474 293850 1615 300150
59500 1474 294427 1616 300573
59600 1475 294893 1619 301107
59700 1476 295435 1619 301565
59800 1476 295869 1619 302131
59900 1478 296330 1620 302670
60000 1481 296566 1621 303434
60100 1482 297174 1621 303826
60200 1482 297756 1625 304244
60300 1485 298344 1626 304656
60400 1488 298866 1629 305134
60500 1490 299188 1630 305812
60600 1491 299628 1630 306372
60700 1491 300187 1631 306813
60800 1492 300605 1631 307395
60900 1493 301074 1633 307926
61000 1494 301626 1633 308374
61100 1495 302078 1636 308922
61200 1498 302563 1640 309437
61300 1499 302813 1641 310187
61400 1501 303274 1643 310726
61500 1501 303907 1644 311093
61600 1502 304365 1645 311635
61700 1503 304971 1647 312029
61800 1505 305442 1648 312558
61900 1505 305913 1648 313087
62000 1507 306413 1650 313587
62100 1507 306922 1652 314078
62200 1507 307387 1652 314613
62300 1510 307872 1653 315128
62400 1514 308387 1654 315613
62500 1517 308897 1656 316103
62600 1517 309392 1658 316608
62700 1518 309903 1659 317097
62800 1519 310281 1660 317719
62900 1520 310745 1660 318255
63000 1521 311109 1660 318891
63100 1523 311655 1660 319345
63200 1524 312132 1661 319868
63300 1525 312618 1662 320382
63400 1526 313147 1662 320853
63500 1530 313789 1664 321211
63600 1530 314158 1665 321842
63700 1531 314719 1665 322281
63800 1533 315200 1667 322800
63900 1533 315676 1668 323324
64000 1534 316182 1668 323818
64100 1537 316560 1671 324440
64200 1538 317118 1671 324882
64300 1539 317610 1672 325390
64400 1541 318141 1673 325859
64500 1542 318658 1676 326342
64600 1545 319022 1676 326978
64700 1547 319523 1677 327477
64800 1548 319948 1681 328052
64900 1552 320462 1683 328538
65000 1555 320940 1686 329060
65100 1555 321349 1687 329651
65200 1556 321883 1689 330117
65300 1556 322405 1691 330595
65400 1556 322893 1692 331107
65500 1557 323257 1693 331743
65600 1557 323681 1694 332319
65700 1559 324175 1698 332825
65800 1562 324668 1699 333332
65900 1564 325154 1700 333846
66000 1565 325692 1701 334308
66100 1565 326118 1701 334882
66200 1568 326615 1703 335385
66300 1569 327130 1703 335870
66400 1569 327710 1703 336290
66500 1569 328211 1704 336789
66600 1571 328617 1706 337383
66700 1571 328926 1708 338074
66800 1571 329517 1710 338483
66900 1571 329971 1710 339029
67000 1571 330464 1712 339536
67100 1573 330990 1713 340010
67200 1573 331484 1713 340516
67300 1574 332105 1713 340895
67400 1574 332677 1713 341323
67500 1574 333103 1714 341897
67600 1574 333712 1714 342288
67700 1575 334178 1715 342822
67800 1576 334676 1715 343324
67900 1576 335150 1715 343850
68000 1577 335613 1717 344387
68100 1577 336128 1717 344872
68200 1579 336379 1719 345621
68300 1582 336805 1723 346195
68400 1582 337309 1724 346691
68500 1582 337593 1726 347407
68600 1585 338024 1728 347976
68700 1585 338507 1728 348493
68800 1587 339009 1730 348991
68900 1588 339696 1733 349304
69000 1590 340131 1734 349869
69100 1591 340683 1736 350317
69200 1595 341251 1736 350749
69300 1596 341782 1737 351218
69400 1596 342204 1738 351796
69500 1599 342532 1738 352468
69600 1603 342995 1739 353005
69700 1605 343481 1739 353519
69800 1605 344093 1740 353907
69900 1606 344689 1740 354311
70000 1608 345251 1741 354749
70100 1609 345802 1743 355198
70200 1609 346404 1743 355596
70300 1610 347055 1745 355945
70400 1612 347500 1746 356500
70500 1615 347844 1746 357156
70600 1616 348288 1746 357712
70700 1617 348890 1748 358110
70800 1618 349385 1749 358615
70900 1621 349873 1751 359127
71000 1623 350344 1752 359656
71100 1623 350807 1753 360193
71200 1625 351263 1755 360737
71300 1627 351670 1757 361330
71400 1628 352091 1757 361909
71500 1628 352705 1761 362295
71600 1629 353163 1764 362837
71700 1630 353573 1764 363427
71800 1630 354232 1766 363768
71900 1630 354700 1766 364300
72000 1630 355248 1767 364752
72100 1630 355809 1768 365191
72200 1631 356264 1769 365736
72300 1633 356596 1770 366404
72400 1633 357158 1771 366842
72500 1633 357601 1773 367399
72600 1634 358117 1775 367883
72700 1636 358846 1776 368154
72800 1636 359386 1778 368614
72900 1637 359896 1781 369104
73000 1639 360503 1782 369497
73100 1642 360957 1783 370043
73200 1642 361373 1783 370627
73300 1642 361853 1784 371147
73400 1643 362356 1786 371644
73500 1646 362928 1787 372072
73600 1648 363494 1787 372506
73700 1648 364053 1787 372947
73800 1648 364534 1789 373466
73900 1648 365085 1790 373915
74000 1648 365585 1791 374415
74100 1648 366065 1792 374935
74200 1648 366503 1793 375497
74300 1648 367033 1794 375967
74400 1655 367599 1796 376401
74500 1657 368211 1796 376789
74600 1659 368889 1797 377111
