#! FIELDS timestep dup_succ dup_attempts kill_succ kill_attempts
#! SET timestep 0.5
#! SET kernel_bandwidth [0.65 0.65]
#! SET kt 1.0
47600 2765 233624 2773 242376
47700 2773 233994 2782 243006
47800 2779 234422 2788 243578
47900 2786 234990 2795 244010
48000 2790 235595 2799 244405
48100 2794 236039 2803 244961
48200 2801 236440 2808 245560
48300 2805 237037 2811 245963
48400 2809 237537 2816 246463
48500 2813 238015 2825 246985
48600 2814 238584 2827 247416
48700 2819 239140 2836 247860
48800 2823 239557 2845 248443
48900 2826 240164 2851 248836
49000 2829 240759 2856 249241
49100 2835 241386 2858 249614
49200 2837 241868 2859 250132
49300 2841 242223 2863 250777
49400 2848 242673 2866 251327
49500 2854 243253 2872 251747
49600 2859 243861 2875 252139
49700 2862 244321 2879 252679
49800 2865 244811 2881 253189
49900 2872 245309 2887 253691
50000 2880 245811 2889 254189
50100 2888 246347 2896 254653
50200 2893 246882 2904 255118
50300 2895 247373 2908 255627
50400 2902 247841 2915 256159
50500 2908 248325 2918 256675
50600 2915 248811 2923 257189
50700 2922 249340 2927 257660
50800 2927 249820 2937 258180
50900 2930 250322 2942 258678
51000 2934 250787 2947 259213
51100 2937 251364 2951 259636
51200 2942 251869 2955 260131
51300 2947 252404 2958 260596
51400 2953 252952 2962 261048
51500 2959 253461 2965 261539
51600 2965 253939 2972 262061
51700 2969 254543 2975 262457
51800 2975 255056 2984 262944
51900 2979 255562 2987 263438
52000 2985 256011 2989 263989
52100 2992 256486 2995 264514
52200 2998 256903 3002 265097
52300 3002 257348 3010 265652
52400 3007 257834 3015 266166
52500 3012 258408 3021 266592
52600 3017 258890 3027 267110
52700 3021 259447 3035 267553
52800 3023 259965 3041 268035
52900 3030 260439 3050 268561
53000 3032 260952 3054 269048
53100 3038 261460 3057 269540
53200 3044 261934 3063 270066
53300 3047 262434 3070 270566
53400 3052 262907 3087 271093
53500 3056 263408 3091 271592
53600 3063 264012 3099 271988
53700 3066 264496 3107 272504
53800 3070 265004 3110 272996
53900 3076 265490 3117 273510
54000 3080 265902 3122 274098
54100 3081 266364 3126 274636
54200 3086 266851 3127 275149
54300 3091 267259 3129 275741
54400 3096 267650 3133 276350
54500 3099 268120 3138 276880
54600 3103 268640 3139 277360
54700 3106 269137 3142 277863
54800 3110 269610 3146 278390
54900 3113 270082 3150 278918
55000 3123 270612 3158 279388
55100 3126 271038 3159 279962
55200 3128 271494 3166 280506
55300 3134 271976 3171 281024
55400 3143 272454 3176 281546
55500 3146 272994 3186 282006
55600 3149 273532 3189 282468
55700 3150 273983 3191 283017
55800 3154 274590 3196 283410
55900 3160 275176 3206 283824
56000 3166 275663 3212 284337
56100 3170 276131 3218 284869
56200 3177 276541 3223 285459
56300 3180 276980 3232 286020
56400 3186 277458 3236 286542
56500 3189 277932 3241 287068
56600 3191 278421 3245 287579
56700 3194 278901 3251 288099
56800 3198 279361 3256 288639
56900 3209 279871 3262 289129
57000 3216 280425 3265 289575
57100 3220 280960 3265 290040
57200 3224 281394 3272 290606
57300 3228 281933 3276 291067
57400 3234 282447 3282 291553
57500 3241 282897 3287 292103
57600 3246 283447 3290 292553
57700 3250 283968 3293 293032
57800 3254 284488 3299 293512
57900 3256 284893 3299 294107
58000 3257 285371 3305 294629
58100 3262 285813 3308 295187
58200 3270 286274 3312 295726
58300 3274 286764 3312 296236
58400 3277 287295 3314 296705
58500 3286 287788 3321 297212
58600 3288 288241 3325 297759
58700 3293 288730 3328 298270
58800 3297 289238 3335 298762
58900 3299 289741 3339 299259
59000 3308 290244 3343 299756
59100 3311 290681 3348 300319
59200 3313 291200 3352 300800
59300 3317 291633 3355 301367
59400 3325 292085 3364 301915
59500 3330 292696 3367 302304
59600 3335 293185 3373 302815
59700 3344 293637 3379 303363
59800 3345 294186 3386 303814
59900 3352 294713 3393 304287
60000 3358 295120 3396 304880
60100 3365 295632 3402 305368
60200 3368 296138 3409 305862
60300 3371 296596 3412 306404
60400 3376 297123 3419 306877
60500 3379 297525 3426 307475
60600 3383 298030 3428 307970
60700 3386 298444 3430 308556
60800 3390 298865 3434 309135
60900 3394 299382 3436 309618
61000 3397 299824 3439 310176
61100 3399 300334 3444 310666
61200 3402 300856 3450 311144
61300 3409 301356 3459 311644
61400 3415 301781 3468 312219
61500 3418 302204 3475 312796
61600 3421 302859 3478 313141
61700 3430 303374 3484 313626
61800 3438 303943 3488 314057
61900 3441 304449 3492 314551
62000 3446 304909 3495 315091
62100 3454 305545 3497 315455
62200 3459 305969 3499 316031
62300 3461 306417 3503 316583
62400 3466 306906 3508 317094
62500 3471 307340 3511 317660
62600 3477 307840 3516 318160
62700 3482 308317 3521 318683
62800 3486 308740 3525 319260
62900 3489 309105 3529 319895
63000 3497 309581 3535 320419
63100 3499 310112 3541 320888
63200 3505 310663 3543 321337
63300 3509 311157 3547 321843
63400 3518 311593 3553 322407
63500 3525 312051 3563 322949
63600 3529 312584 3569 323416
63700 3530 313036 3572 323964
63800 3536 313571 3581 324429
63900 3543 314228 3588 324772
64000 3547 314736 3588 325264
64100 3550 315272 3594 325728
64200 3560 315694 3606 326306
64300 3566 316179 3610 326821
64400 3567 316746 3617 327254
64500 3572 317228 3619 327772
64600 3575 317726 3626 328274
64700 3576 318233 3628 328767
64800 3579 318701 3633 329299
64900 3590 319182 3637 329818
65000 3593 319621 3645 330379
65100 3598 320124 3650 330876
65200 3602 320615 3654 331385
65300 3605 321027 3655 331973
65400 3609 321495 3658 332505
65500 3612 322030 3659 332970
65600 3618 322434 3662 333566
65700 3624 322970 3664 334030
65800 3631 323534 3671 334466
65900 3632 324034 3675 334966
66000 3640 324507 3683 335493
66100 3644 325022 3686 335978
66200 3648 325557 3690 336443
66300 3654 326065 3691 336935
66400 3656 326627 3700 337373
66500 3662 327072 3707 337928
66600 3662 327506 3709 338494
66700 3673 327949 3713 339051
66800 3677 328525 3718 339475
66900 3682 329026 3724 339974
67000 3690 329496 3728 340504
67100 3699 329991 3730 341009
67200 3703 330499 3735 341501
67300 3704 331079 3739 341921
67400 3706 331589 3741 342411
67500 3708 332203 3746 342797
67600 3711 332733 3754 343267
67700 3717 333218 3761 343782
67800 3721 333674 3764 344326
67900 3722 334142 3766 344858
68000 3728 334587 3768 345413
68100 3733 335029 3770 345971
68200 3736 335507 3777 346493
68300 3742 335959 3780 347041
68400 3746 336406 3782 347594
68500 3750 336872 3785 348128
68600 3754 337318 3788 348682
68700 3758 337856 3796 349144
68800 3760 338325 3800 349675
68900 3763 338847 3806 350153
69000 3767 339354 3814 350646
69100 3768 339906 3818 351094
69200 3773 340429 3819 351571
69300 3778 340903 3823 352097
69400 3780 341371 3827 352629
69500 3784 341799 3829 353201
69600 3789 342196 3837 353804
69700 3793 342702 3842 354298
69800 3802 343121 3851 354879
69900 3808 343643 3856 355357
70000 3814 344032 3864 355968
70100 3815 344474 3869 356526
70200 3819 344962 3874 357038
70300 3821 345331 3877 357669
70400 3831 345783 3880 358217
70500 3839 346277 3885 358723
70600 3841 346765 3889 359235
70700 3842 347237 3890 359763
70800 3843 347819 3894 360181
70900 3850 348206 3900 360794
71000 3854 348746 3912 361254
71100 3857 349222 3914 361778
71200 3859 349780 3919 362220
71300 3866 350280 3921 362720
71400 3870 350726 3925 363274
71500 3879 351264 3930 363736
71600 3886 351715 3935 364285
71700 3888 352337 3935 364663
71800 3893 352782 3937 365218
71900 3896 353346 3942 365654
72000 3897 353782 3947 366218
72100 3898 354263 3951 366737
72200 3901 354613 3954 367387
72300 3904 355087 3958 367913
72400 3909 355646 3963 368354
72500 3914 356202 3969 368798
72600 3920 356720 3971 369280
72700 3931 357230 3976 369770
72800 3938 357699 3984 370301
72900 3942 358236 3990 370764
73000 3947 358726 3992 371274
